date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,OT
2019/1/1,362558,8744,653046,9.663999557,5.6186E+12,0.600000024,31.31800079,4.05E+19,65348534272,0.0254,99.57499695,0.172999993,1424526080,244461,15.70899963,234576,17069,3744
2019/1/2,505957,14003,732811,9.536000252,5.6186E+12,0.947000027,35.63800049,4.35E+19,67471069184,0.0429,131.197998,0.169,2515216384,329358,15.69299984,271545,18830,3865
2019/1/3,516491,12499,735546,9.289999962,5.6186E+12,0.980000019,36.11999893,4.15E+19,67636613120,0.0592,147.0950012,0.182999998,2752308224,355235,15.64799976,290861,26754,3874
2019/1/4,517169,13168,734502,9.663999557,5.6186E+12,1.041000009,35.51100159,4.34E+19,66716274688,0.0517,150.4869995,0.165999994,2811737600,358511,15.64299965,281623,21139,3821
2019/1/5,459113,11078,638306,8.833999634,5.6186E+12,0.598999977,29.15200043,4.65E+19,67429023744,0.028999999,92.375,0.170000002,2048008192,308909,15.68200016,265029,20096,3861
2019/1/6,433832,10471,640725,10.2130003,5.6186E+12,0.933000028,31.65399933,4.06E+19,68542726144,0.040800001,96.65100098,0.172000006,2072755712,306803,15.68000031,258381,18883,3925
2019/1/7,507835,13992,749891,10.2130003,5.6186E+12,1.337000012,37.17300034,4.03E+19,70771712000,0.082199998,154.25,0.179000005,2995832832,350146,15.67700005,284641,20476,4052
2019/1/8,529739,11460,669507,8.520999908,5.6186E+12,0.981999993,33.17900085,4.35E+19,70410190848,0.087300003,115.3580017,0.197999999,2759732224,362924,15.66399956,318355,19387,4031
2019/1/9,540921,11942,677570,8.779999733,5.6186E+12,1.166000009,33.95700073,4.46E+19,70512238592,0.105999999,110.4089966,0.187999994,2900940288,361911,15.65999985,318892,21237,4036
2019/1/10,572517,13597,750743,9.230999947,5.6186E+12,1.309000015,38.55899811,4.57E+19,66825240576,0.105999999,134.9519958,0.165000007,3226614784,381926,15.66800022,327182,20948,3825
2019/1/11,548421,14261,741784,9.729999542,5.6186E+12,1.294999957,34.91999817,4.28E+19,63988748288,0.108999997,132.121994,0.159999996,3335554304,381982,15.83100033,308224,19317,3662
2019/1/12,448196,10376,680278,10.43500042,5.6186E+12,0.98299998,30.05800056,4.15E+19,63755091968,0.072999999,93.51200104,0.152999997,1945648896,320388,15.83199978,281364,16138,3648
2019/1/13,412444,9688,668040,10.51099968,5.6186E+12,0.82099998,30.02599907,3.69E+19,62927339520,0.0493,68.20899963,0.167999998,1806714496,293128,15.83100033,276860,16041,3600
2019/1/14,512960,10395,747636,9.663999557,5.86261E+12,1.062999964,32.96300125,4.21E+19,62991720448,0.058499999,94.93099976,0.160999998,2474611968,354741,15.82900047,326536,19018,3604
